id,prix,surface,pieces,ville,prix_log,type_bien_APPARTEMENT,type_bien_AUTRE,type_bien_MAISON,type_bien_PARKING,type_bien_TERRAIN
516,199000,45.0,2.0,309509.7459818486,12.201065128819632,True,False,False,False,False
517,149000,700.0,4.686456400742115,282819.73388574616,11.91170829631447,False,False,False,False,True
518,595000,160.0,5.0,305918.83689093956,13.296318365198623,True,False,False,False,False
519,465000,141.0,6.0,290191.5641636668,13.049794835104816,False,False,True,False,False
521,315000,92.0,4.0,290724.4957905081,12.660331092405906,False,False,True,False,False
522,107000,195.0,7.0,281646.1096182123,11.580593459194764,False,False,True,False,False
523,510000,215.0,8.0,300010.21007622237,13.1421679654829,False,False,True,False,False
524,65000,1900.0,4.686456400742115,278819.73388574616,11.082157933374816,False,False,False,False,True
525,573000,432.0,8.0,303010.21007622237,13.258642740896052,False,False,True,False,False
526,78900,45.0,2.0,280091.93093915953,11.275949181024878,True,False,False,False,False
528,225000,7136.0,4.686456400742115,286438.7815047938,12.323860125621126,False,False,False,False,True
529,115000,25.0,1.0,281200.6862666986,11.652696102959753,True,False,False,False,False
530,229000,230.0,8.0,277509.2914363941,12.34148164933907,False,False,True,False,False
531,120000,21.0,4.686456400742115,304441.5641636668,11.695255355062795,True,False,False,False,False
